,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
360,world/2022/aug/20/russia-ukraine-war-latest-what-we-know-on-day-178-of-the-invasion,article,world,World news,2022-08-20T01:35:02Z,Russia-Ukraine war latest: what we know on day 178 of the invasion,https://www.theguardian.com/world/2022/aug/20/russia-ukraine-war-latest-what-we-know-on-day-178-of-the-invasion,https://content.guardianapis.com/world/2022/aug/20/russia-ukraine-war-latest-what-we-know-on-day-178-of-the-invasion,False,pillar/news,News
361,world/live/2022/oct/01/russia-ukraine-war-ukrainians-advance-on-lyman-after-putins-annexations-live,liveblog,world,World news,2022-10-01T20:14:19Z,Russia-Ukraine war: Russians flee Lyman as Ukrainian troops retake city a day after Putin’s illegal annexation – as it happened ,https://www.theguardian.com/world/live/2022/oct/01/russia-ukraine-war-ukrainians-advance-on-lyman-after-putins-annexations-live,https://content.guardianapis.com/world/live/2022/oct/01/russia-ukraine-war-ukrainians-advance-on-lyman-after-putins-annexations-live,False,pillar/news,News
362,world/2022/jul/23/russia-ukraine-war-what-we-know-on-day-150-of-the-invasion,article,world,World news,2022-07-23T01:44:06Z,Russia-Ukraine war: what we know on day 150 of the invasion,https://www.theguardian.com/world/2022/jul/23/russia-ukraine-war-what-we-know-on-day-150-of-the-invasion,https://content.guardianapis.com/world/2022/jul/23/russia-ukraine-war-what-we-know-on-day-150-of-the-invasion,False,pillar/news,News
363,world/2022/aug/20/what-happened-in-the-russia-ukraine-war-this-week-catch-up-with-the-must-read-news-and-analysis,article,world,World news,2022-08-19T20:00:21Z,What happened in the Russia-Ukraine war this week? Catch up with the must-read news and analysis,https://www.theguardian.com/world/2022/aug/20/what-happened-in-the-russia-ukraine-war-this-week-catch-up-with-the-must-read-news-and-analysis,https://content.guardianapis.com/world/2022/aug/20/what-happened-in-the-russia-ukraine-war-this-week-catch-up-with-the-must-read-news-and-analysis,False,pillar/news,News
364,world/2022/may/12/they-were-furious-the-russian-soldiers-refusing-to-fight-in-ukraine,article,world,World news,2022-05-12T17:58:23Z,‘They were furious’: the Russian soldiers refusing to fight in Ukraine,https://www.theguardian.com/world/2022/may/12/they-were-furious-the-russian-soldiers-refusing-to-fight-in-ukraine,https://content.guardianapis.com/world/2022/may/12/they-were-furious-the-russian-soldiers-refusing-to-fight-in-ukraine,False,pillar/news,News
365,world/2022/sep/19/i-was-born-here-and-ill-die-here-liberated-ukrainians-tell-of-life-under-occupation,article,world,World news,2022-09-19T14:27:04Z,‘I was born here and I’ll die here’: liberated Ukrainians tell of life under occupation,https://www.theguardian.com/world/2022/sep/19/i-was-born-here-and-ill-die-here-liberated-ukrainians-tell-of-life-under-occupation,https://content.guardianapis.com/world/2022/sep/19/i-was-born-here-and-ill-die-here-liberated-ukrainians-tell-of-life-under-occupation,False,pillar/news,News
366,world/2022/jun/29/ukraine-announces-largest-exchange-of-prisoners-of-war-since-russia-invaded,article,world,World news,2022-06-29T18:49:25Z,Ukraine announces largest exchange of prisoners of war since Russia invaded,https://www.theguardian.com/world/2022/jun/29/ukraine-announces-largest-exchange-of-prisoners-of-war-since-russia-invaded,https://content.guardianapis.com/world/2022/jun/29/ukraine-announces-largest-exchange-of-prisoners-of-war-since-russia-invaded,False,pillar/news,News
367,world/2022/apr/16/russians-who-fled-at-outbreak-of-ukraine-war-reluctantly-go-home,article,world,World news,2022-04-16T16:16:16Z,Russians who fled at outbreak of Ukraine war reluctantly go home ,https://www.theguardian.com/world/2022/apr/16/russians-who-fled-at-outbreak-of-ukraine-war-reluctantly-go-home,https://content.guardianapis.com/world/2022/apr/16/russians-who-fled-at-outbreak-of-ukraine-war-reluctantly-go-home,False,pillar/news,News
368,world/2022/jun/03/devastation-and-defiance-in-ukraine-100-days-of-a-war-that-is-reshaping-europe,article,world,World news,2022-06-03T02:00:04Z,Devastation and defiance in Ukraine: 100 days of a war that is reshaping Europe,https://www.theguardian.com/world/2022/jun/03/devastation-and-defiance-in-ukraine-100-days-of-a-war-that-is-reshaping-europe,https://content.guardianapis.com/world/2022/jun/03/devastation-and-defiance-in-ukraine-100-days-of-a-war-that-is-reshaping-europe,False,pillar/news,News
369,world/2022/oct/10/sergei-surovikin-the-general-armageddon-now-in-charge-of-russias-war,article,world,World news,2022-10-10T16:57:44Z,Sergei Surovikin: the ‘General Armageddon’ now in charge of Russia’s war,https://www.theguardian.com/world/2022/oct/10/sergei-surovikin-the-general-armageddon-now-in-charge-of-russias-war,https://content.guardianapis.com/world/2022/oct/10/sergei-surovikin-the-general-armageddon-now-in-charge-of-russias-war,False,pillar/news,News
370,world/2022/jul/23/russia-ukraine-war-what-we-know-on-day-150-of-the-invasion,article,world,World news,2022-07-23T01:44:06Z,Russia-Ukraine war: what we know on day 150 of the invasion,https://www.theguardian.com/world/2022/jul/23/russia-ukraine-war-what-we-know-on-day-150-of-the-invasion,https://content.guardianapis.com/world/2022/jul/23/russia-ukraine-war-what-we-know-on-day-150-of-the-invasion,False,pillar/news,News
371,world/2022/may/12/they-were-furious-the-russian-soldiers-refusing-to-fight-in-ukraine,article,world,World news,2022-05-12T17:58:23Z,‘They were furious’: the Russian soldiers refusing to fight in Ukraine,https://www.theguardian.com/world/2022/may/12/they-were-furious-the-russian-soldiers-refusing-to-fight-in-ukraine,https://content.guardianapis.com/world/2022/may/12/they-were-furious-the-russian-soldiers-refusing-to-fight-in-ukraine,False,pillar/news,News
372,world/2022/sep/19/i-was-born-here-and-ill-die-here-liberated-ukrainians-tell-of-life-under-occupation,article,world,World news,2022-09-19T14:27:04Z,‘I was born here and I’ll die here’: liberated Ukrainians tell of life under occupation,https://www.theguardian.com/world/2022/sep/19/i-was-born-here-and-ill-die-here-liberated-ukrainians-tell-of-life-under-occupation,https://content.guardianapis.com/world/2022/sep/19/i-was-born-here-and-ill-die-here-liberated-ukrainians-tell-of-life-under-occupation,False,pillar/news,News
373,world/2022/jun/29/ukraine-announces-largest-exchange-of-prisoners-of-war-since-russia-invaded,article,world,World news,2022-06-29T18:49:25Z,Ukraine announces largest exchange of prisoners of war since Russia invaded,https://www.theguardian.com/world/2022/jun/29/ukraine-announces-largest-exchange-of-prisoners-of-war-since-russia-invaded,https://content.guardianapis.com/world/2022/jun/29/ukraine-announces-largest-exchange-of-prisoners-of-war-since-russia-invaded,False,pillar/news,News
374,world/2022/jun/03/devastation-and-defiance-in-ukraine-100-days-of-a-war-that-is-reshaping-europe,article,world,World news,2022-06-03T02:00:04Z,Devastation and defiance in Ukraine: 100 days of a war that is reshaping Europe,https://www.theguardian.com/world/2022/jun/03/devastation-and-defiance-in-ukraine-100-days-of-a-war-that-is-reshaping-europe,https://content.guardianapis.com/world/2022/jun/03/devastation-and-defiance-in-ukraine-100-days-of-a-war-that-is-reshaping-europe,False,pillar/news,News
